f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.0,0.0,0.0,-0.33979368,-0.0618388,-0.16687332,-0.614265,-0.5499119,-0.19461751,-0.7013438,-1.0250729,-0.2089684,-0.72038263,-1.341848,-0.183423,-0.45423657,-0.9556486,-0.017386407,-0.42031208,-1.2546328,-0.1617681,-0.35785636,-0.86960715,-0.20309733,-0.37423214,-0.79440373,-0.21331719,-0.2243317,-0.97449684,0.005577032,-0.19028845,-1.2493811,-0.15498818,-0.167062,-0.7699027,-0.1629074,-0.2241577,-0.7594218,-0.12734292,-0.011735615,-0.97096694,-0.01122866,0.026938133,-1.2272316,-0.19047655,0.016397474,-0.77563995,-0.122322276,-0.039541613,-0.7291251,-0.03403459,0.19830944,-0.9657544,-0.04261196,0.22400756,-1.1617829,-0.13811323,0.20510355,-0.84469086,-0.080067016,0.17163351,-0.7612074,-0.013484718,A
0.0,0.0,0.0,-0.2198566,-0.18242395,-0.067819156,-0.33408242,-0.49762332,-0.10450559,-0.20492236,-0.75203335,-0.14091171,-0.0099142855,-0.7069931,-0.1761582,-0.29726616,-0.93174875,0.008011849,-0.30530328,-1.2379428,-0.024304202,-0.2929886,-1.4243492,-0.08860983,-0.28002506,-1.606681,-0.15367357,-0.16693926,-0.98590535,-0.011039283,-0.18869117,-1.338182,-0.025447333,-0.18545228,-1.5442969,-0.069365904,-0.19657235,-1.7657408,-0.11597135,-0.04490174,-0.9425321,-0.045344025,-0.058274068,-1.2765548,-0.06039992,-0.073805526,-1.4807321,-0.08765847,-0.09044217,-1.664674,-0.12015536,0.09900862,-0.8312735,-0.09383108,0.079004526,-1.110337,-0.11294866,0.061331164,-1.2776152,-0.12109593,0.042676866,-1.4259382,-0.13631652,B
0.0,0.0,0.0,-0.2853932,-0.14047746,-0.010397644,-0.5043321,-0.33412337,-0.05238396,-0.71409726,-0.44127306,-0.12645833,-0.9225774,-0.50298667,-0.19890748,-0.36538213,-0.91134304,0.14803238,-0.49331588,-1.1819906,0.07271973,-0.62231696,-1.2383299,-0.031501174,-0.75451934,-1.2317871,-0.10417903,-0.26585463,-0.9607231,0.07957717,-0.39331776,-1.3044368,0.0030536815,-0.542435,-1.3504579,-0.09890765,-0.6870723,-1.2750503,-0.16583748,-0.16161336,-0.96525395,-0.0113484375,-0.25634888,-1.3288434,-0.069465935,-0.4229007,-1.3982108,-0.12738511,-0.57857656,-1.3394381,-0.16200532,-0.060378868,-0.9203579,-0.11170064,-0.16951883,-1.2068617,-0.1499708,-0.3135616,-1.3063854,-0.17599116,-0.45651177,-1.3073807,-0.19310254,C
0.0,0.0,0.0,-0.214955,-0.18588105,-0.14105955,-0.3593974,-0.45548356,-0.22528577,-0.22385606,-0.65471244,-0.30488962,-0.0049134195,-0.6812412,-0.3797116,-0.19952664,-1.0030435,-0.13276184,-0.23002435,-1.4410114,-0.22932158,-0.22659844,-1.6829697,-0.29861078,-0.22077958,-1.9024714,-0.35752305,0.017347112,-0.9909591,-0.13303834,0.10828651,-1.268234,-0.2907985,0.08870047,-0.95620817,-0.33175308,0.03268475,-0.7083998,-0.3250336,0.19335356,-0.9073745,-0.15046898,0.29019934,-1.1610398,-0.3011709,0.23769568,-0.9028362,-0.29046,0.15976954,-0.67455125,-0.24214835,0.3314259,-0.770399,-0.18131316,0.42663264,-1.0091407,-0.2909539,0.37899557,-0.88868946,-0.28421584,0.29893425,-0.72899204,-0.25226086,D
0.0,0.0,0.0,-0.29258937,-0.10701953,-0.10208154,-0.5083832,-0.35541815,-0.17686947,-0.40743074,-0.5608365,-0.26079124,-0.16669773,-0.5695656,-0.32580936,-0.41510656,-0.9146918,-0.06516185,-0.43139255,-1.2659912,-0.21855906,-0.4084894,-0.96235985,-0.3082171,-0.39107424,-0.7400849,-0.35102788,-0.21780528,-0.97193515,-0.08889833,-0.22191475,-1.353091,-0.24298626,-0.21167475,-0.98261774,-0.27971613,-0.22070275,-0.75724095,-0.26881936,-0.03109924,-0.96796954,-0.13849774,-0.014836082,-1.3616594,-0.26756102,-0.030514305,-1.0260986,-0.24007288,-0.06028186,-0.7753307,-0.18602684,0.1452483,-0.8941843,-0.20149222,0.16490927,-1.1986971,-0.28249443,0.120717056,-0.99121046,-0.2577939,0.075914145,-0.7971009,-0.2185093,E
0.0,0.0,0.0,-0.18288745,-0.08913305,-0.11587118,-0.3511612,-0.28671408,-0.19682957,-0.48186135,-0.44230306,-0.27427268,-0.5475956,-0.64248663,-0.34288305,-0.3364586,-0.83658457,-0.06478121,-0.42962313,-0.9479682,-0.23753774,-0.46187785,-0.8763633,-0.38477036,-0.4517131,-0.7745208,-0.4608398,-0.19786745,-0.97665113,-0.08367245,-0.25725994,-1.3930209,-0.18185802,-0.28565294,-1.6620926,-0.25954962,-0.30078346,-1.8953018,-0.30860263,-0.033836097,-0.97673714,-0.13272405,0.018259155,-1.3683584,-0.23679413,0.05628065,-1.6080871,-0.2955389,0.069533646,-1.8290572,-0.3243261,0.12658903,-0.8530215,-0.19304356,0.22758488,-1.1384739,-0.2603659,0.28532755,-1.3267794,-0.26524052,0.32175526,-1.5072771,-0.26093772,F
0.0,0.0,0.0,-0.20799506,-0.3209756,0.021942018,-0.42280772,-0.58924395,-0.025040539,-0.60153013,-0.68053144,-0.084564015,-0.7126785,-0.67380214,-0.14526007,-0.39401025,-1.0180805,-0.075741336,-0.74698126,-1.0156945,-0.17928596,-0.9615615,-1.0201749,-0.25697535,-1.1407611,-1.0301658,-0.31808156,-0.3280207,-0.9329833,-0.1481374,-0.73753965,-0.6417842,-0.23413688,-0.6338945,-0.50408316,-0.23979257,-0.51239115,-0.52672094,-0.25284535,-0.28512967,-0.74528354,-0.2221799,-0.6663258,-0.40248445,-0.27648616,-0.55902636,-0.30266005,-0.227368,-0.4507792,-0.36906067,-0.20869333,-0.25688362,-0.5091745,-0.30016863,-0.5732758,-0.24049282,-0.3363828,-0.49240783,-0.16519375,-0.29934755,-0.39657715,-0.20621537,-0.27704078,G
0.0,0.0,0.0,-0.18424156,-0.36411127,0.012483584,-0.41434583,-0.64119124,-0.04248742,-0.66954255,-0.70282435,-0.11335592,-0.8546974,-0.6889519,-0.19344303,-0.39643654,-1.05508,-0.105145775,-0.7699071,-1.1036438,-0.22904342,-0.9961051,-1.1161112,-0.32169378,-1.1929909,-1.1228162,-0.3824824,-0.3465735,-0.92079425,-0.1789545,-0.798516,-0.89216226,-0.29707238,-1.0791038,-0.8744498,-0.36294347,-1.30581,-0.86721534,-0.41101822,-0.3204381,-0.68874675,-0.2479904,-0.7475137,-0.45820254,-0.3427213,-0.6958508,-0.32712302,-0.32659298,-0.5956915,-0.3016849,-0.30581737,-0.32927236,-0.41386208,-0.31775633,-0.65720075,-0.24621393,-0.37626287,-0.6190323,-0.17349464,-0.34185094,-0.5241566,-0.18619663,-0.307817,H
0.0,0.0,0.0,-0.31237224,-0.15522969,-0.072345585,-0.528453,-0.45565945,-0.1372361,-0.46371153,-0.7970164,-0.18954095,-0.228918,-0.90712345,-0.21037787,-0.41393095,-0.8110617,-0.18328728,-0.44385976,-1.0386971,-0.3263451,-0.38073307,-0.80354327,-0.37911355,-0.33581695,-0.6224391,-0.40557256,-0.24761617,-0.9538762,-0.1697248,-0.30280015,-1.2232014,-0.27947375,-0.24238746,-0.80422187,-0.25093865,-0.2892866,-0.7942106,-0.23864622,-0.097789876,-1.0407904,-0.16489874,-0.14063732,-1.3655698,-0.24280316,-0.117289826,-0.9894098,-0.1251696,-0.09290327,-0.73114663,-0.05076712,0.08270744,-1.0699174,-0.1724978,0.07879062,-1.5055888,-0.27165252,0.06873,-1.7570829,-0.28382382,0.029876847,-2.0215065,-0.29314426,I
0.0,0.0,0.0,-0.27821794,0.09635434,-0.34557125,-0.6033162,0.13395907,-0.5803908,-0.69821143,0.226245,-0.750893,-0.4415147,0.27089337,-0.8766606,-0.46584475,-0.8115602,-0.5335695,-0.43125397,-0.055510048,-0.7394024,-0.39394388,0.14586416,-0.8128432,-0.3576996,-0.0123309,-0.8659305,-0.10455856,-0.8803674,-0.4626239,-0.046364337,0.10936076,-0.6575557,-0.101597995,0.20344633,-0.6654717,-0.14364976,-0.055498328,-0.67156243,0.22529407,-0.79870903,-0.4117947,0.2474856,0.14244033,-0.5910109,0.10521975,0.22477254,-0.503504,0.015475723,0.008233514,-0.4308453,0.49212617,-0.64629644,-0.40079865,0.47594923,0.0062854155,-0.5587765,0.3594068,0.09252618,-0.54747546,0.28886053,-0.05134983,-0.51352483,YES
